"gender","Hugo_Symbol","n_patients_mut","n_total","freq"
"female","TTN",41,86,0.476744186046512
"female","BRAF",36,86,0.418604651162791
"female","MUC16",27,86,0.313953488372093
"female","DNAH5",25,86,0.290697674418605
"female","MUC17",25,86,0.290697674418605
"female","NRAS",23,86,0.267441860465116
"female","SPHKAP",22,86,0.255813953488372
"female","USH2A",22,86,0.255813953488372
"female","ANK3",21,86,0.244186046511628
"female","LRP1B",20,86,0.232558139534884
"female","MXRA5",20,86,0.232558139534884
"male","TTN",82,160,0.5125
"male","DNAH5",66,160,0.4125
"male","MUC16",66,160,0.4125
"male","BRAF",65,160,0.40625
"male","USH2A",54,160,0.3375
"male","ANK3",51,160,0.31875
"male","DNAH8",49,160,0.30625
"male","LRP1B",48,160,0.3
"male","APOB",43,160,0.26875
"male","NRAS",43,160,0.26875
"male","PCLO",43,160,0.26875
